DATA,SIGLA_ESTADO,MUNICIPIO,CODIGO_MUNICIPIO_7,OBITOS_NOVOS,OBITOS,CASOS_NOVOS,CASOS,POPULACAO_ESTIMADA,OBITOS_NOVOS_MEDIA_14_DIAS,TAXA_OBITOS_NOVOS_MEDIA_14_DIAS,CASOS_NOVOS_MEDIA_14_DIAS,CASOS_NOVOS_MEDIA_56_DIAS,TAXA_CASOS_NOVOS_MEDIA_14_DIAS,TAXA_CASOS_NOVOS_MEDIA_56_DIAS,TAXA_FATALIDADE,NUMERO_REPRODUCAO_EFETIVO_MEDIA,NUMERO_REPRODUCAO_EFETIVO_VARIANCIA,NUMERO_REPRODUCAO_EFETIVO_QUANTIL_0.025,NUMERO_REPRODUCAO_EFETIVO_MEDIANA,NUMERO_REPRODUCAO_EFETIVO_QUANTIL_0.975
2021-06-19,TOTAL,TOTAL,0,2205,500908,77930,17886593,210147125,2016.5,0.9595658279883678,69644.42857142857,63809.28571428572,33.14079532205285,30.364101204946635,3.2881112723596457,0.9497448045296052,9.556029137235329e-07,0.947829901470338,0.9497444691771476,0.951661613369244
2021-06-20,TOTAL,TOTAL,0,1031,501939,44581,17931174,210147125,2027.2857142857144,0.9646982866340494,69947.14285714286,64004.67857142857,33.284844062055505,30.45708028193513,3.2985794328656217,0.9282400900923984,9.374771002280188e-07,0.9263433183637308,0.928239753433216,0.9301387750274464
2021-06-21,TOTAL,TOTAL,0,981,502920,45396,17976570,210147125,2015.2857142857144,0.958988001518324,70353.92857142857,64236.982142857145,33.478415929520125,30.56762358412334,3.2705589416993366,0.9064296052370344,9.219902447537902e-07,0.90454869531059,0.9064292662139466,0.9083124418037384
2021-06-22,TOTAL,TOTAL,0,2103,505023,124239,18100809,210147125,1976.4285714285716,0.9404975544769272,75249.35714285714,65101.482142857145,35.80794033839727,30.979002041002055,3.2771042100189143,0.8849438063664139,9.096284593378462e-07,0.8830759703394022,0.8849434639166965,0.8868135885069366
2021-06-23,TOTAL,TOTAL,0,2265,507288,77384,18178193,210147125,1967.571428571429,0.936282820224844,74716.35714285714,65103.55357142857,35.554308507840474,30.979987744980367,3.24468348257511,0.8644276606812975,9.010571711321358e-07,0.8625687128733299,0.8644273134256739,0.8662885819143449
2021-06-24,TOTAL,TOTAL,0,2038,509326,76610,18254803,210147125,1934.5,0.9205455463642436,73672.0,65246.53571428572,35.05734375381058,31.04802681182801,3.0928353064913794,0.8456580365772935,8.969940469526635e-07,0.8438033633085377,0.8456576832373393,0.847514717847877
2021-06-25,TOTAL,TOTAL,0,2007,511333,75050,18329853,210147125,1922.4285714285716,0.9148012714561626,72868.0,65301.0,34.674754651056965,31.07394402849908,2.9637705098557423,0.8293680186165868,8.981829474251575e-07,0.8275122074948833,0.8293676578863887,0.8312258797382638
2021-06-26,TOTAL,TOTAL,0,1516,512849,60662,18390515,210147125,1889.7142857142856,0.8992339465573396,71932.42857142857,65343.375,34.22955635078451,31.09410847281399,2.9200915232798272,0.8161670039963114,9.052698369271612e-07,0.8143039893763327,0.8161666345720706,0.8180321180237888
2021-06-27,TOTAL,TOTAL,0,720,513569,31978,18422493,210147125,1861.2142857142856,0.8856720194074917,71575.0,65391.42857142857,34.05947142983755,31.116975105621155,2.890295873477872,0.8065095100282527,9.187643335628716e-07,0.8046319207636805,0.8065091302995624,0.8083892572596596
2021-06-28,TOTAL,TOTAL,0,714,514283,32049,18454542,210147125,1839.4285714285716,0.8753051327390614,70815.28571428571,65267.82142857143,33.697955998344355,31.05815576994995,2.837310768823957,0.8006935803319002,9.390505775347566e-07,0.7987954990702645,0.8006931894423209,0.8025938829867807
