days_to_fit_within_outbreak,outbreak,date,train_period,estimated_new_deaths_mean,estimated_new_deaths_lower_bound,estimated_new_deaths_upper_bound,actual_death_rate,actual_inside_confidence_interval
28.0,8.0,2020-04-04,False,0.05408637079939934,0.04764580249973287,0.060025151459794264,0.0600096697597943,True
28.0,8.0,2020-04-05,False,0.06241750112899862,0.053695110966582194,0.07032742932208028,0.0690849891021314,True
28.0,8.0,2020-04-06,False,0.0721768171757677,0.06073697016738111,0.08320793240874508,0.0749944993715601,True
28.0,8.0,2020-04-07,False,0.0836752826300541,0.06945979729149614,0.09701883872685729,0.0816075227683018,True
28.0,8.0,2020-04-08,False,0.0971694378710698,0.07907532660748907,0.1155602637912111,0.087868789601387,True
28.0,8.0,2020-04-09,False,0.11304021768662745,0.08986907172564511,0.13556772818901633,0.0934968946198906,True
28.0,8.0,2020-04-10,False,0.13175385257291725,0.10113469126262391,0.15895879691245515,0.097647622071037,False
28.0,8.0,2020-04-11,False,0.15372867363596016,0.11820917507394509,0.190978673965528,0.1028536192131528,False
28.0,8.0,2020-04-12,False,0.17965429523642257,0.13627418310250144,0.2278917002064377,0.1087631294825816,False
28.0,8.0,2020-04-13,False,0.21015488222410944,0.15435377444496692,0.26879005611718715,0.1157982607557111,False
28.0,8.0,2020-04-14,False,0.24604919344932014,0.1800867171207403,0.31195250817211917,0.1217781223378711,False
28.0,8.0,2020-04-15,False,0.2883217348097705,0.20601338890980106,0.3769232265427105,0.1300092259274326,False
28.0,8.0,2020-04-16,False,0.33793722442654006,0.24016398733756916,0.44093847898773425,0.1402805175862016,False
28.0,8.0,2020-04-17,False,0.3963483352249952,0.27246552790000333,0.5161362373787054,0.151114619746821,False
28.0,8.0,2020-04-18,False,0.4649204583793301,0.3231713148170111,0.6030924825760938,0.1623004784710968,False
28.0,8.0,2020-04-19,False,0.5453278422987002,0.38463796456478627,0.7282363876035798,0.1725717701298659,False
28.0,8.0,2020-04-20,False,0.6394525137530765,0.4261903696088406,0.8371138595019894,0.1867123839888561,False
28.0,8.0,2020-04-21,False,0.749178295549513,0.5137013860660328,0.9992924324451126,0.200290187345996,False
